preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os03g50290	0	0.88141464	0.136518407	0.495213495	0	0	0
LOC_Os04g38870	0	0.869970935	0.326489839	0.457168927	0	0	0
LOC_Os08g33370	0	0.849316178	0.211245345	0.492412989	0	0	0
LOC_Os02g36974	0	0.856423916	0.284176154	0.472305286	0	0	0
LOC_Os08g37490	0	0.848869411	0.229275921	0.495991844	0	0	0
LOC_Os06g46770	0	0.543465166	0.446510823	0.539765046	0	0	0
LOC_Os11g34450	0	0.862111374	0.235285797	0.481627744	0	0	0
LOC_Os09g30412	0	0.575021776	0.171242058	0.506406686	0	0	0
LOC_Os05g42424	0	0.621665511	0.365814863	0.5462599	0	0	0
LOC_Os02g39720	0	0.670633414	0.236907494	0.495514914	0	0	0
LOC_Os02g06640	0	0.623502157	0.316552689	0.549279662	0	0	0
LOC_Os01g68940	0	0.563310141	0.1264404	0.499192753	0	0	0
LOC_Os11g47760	0	0.752661451	0.144956454	0.526867052	0	0	0
LOC_Os03g60620	0	0.725860431	0.113102093	0.531332753	0	0	0
LOC_Os03g17710	0	0.631053413	0.298597103	0.511065988	0	0	0
LOC_Os04g02870	0	0.554176032	0.259527804	0.506985564	0	0	0
LOC_Os05g02880	0	0.625655794	0.220160977	0.466353443	0	0	0
LOC_Os07g47630	0	0.657145177	0.309514745	0.491829471	0	0	0
LOC_Os05g30140	0	0.620978493	0.34845855	0.504247102	0	0	0
LOC_Os03g22380	0	0.563074461	0.351273607	0.499730533	0	0	0
LOC_Os09g12800	0	0.632738348	0.301799661	0.50614493	0	0	0
LOC_Os06g35814	0	0.692133566	0.359272808	0.496005693	0	0	0
LOC_Os02g58730	0	0.617882161	0.15478547	0.473796178	0	0	0
LOC_Os05g08840	0	0.616842749	0.131938807	0.512536388	0	0	0
LOC_Os03g13970	0	0.776954308	0.111222377	0.502459416	0	0	0
LOC_Os07g41180	0	0.55735774	0.207888419	0.478521815	0	0	0
LOC_Os01g21420	0	0.619319226	0.268921707	0.481440388	0	0	0
LOC_Os01g16190	0	0.725207082	0.107134302	0.505279998	0	0	0
LOC_Os02g50860	0	0.575233594	0.242032306	0.473400471	0	0	0
LOC_Os05g38530	0	0.624785123	0.305838979	0.515690952	0	0	0
LOC_Os01g06290	0	0.626203088	0.282619216	0.511516703	0	0	0
LOC_Os01g12900	0	0.59864713	0.282944236	0.473094752	0	0	0
LOC_Os01g73310	0	0.595873428	0.382432046	0.496192782	0	0	0
LOC_Os03g60530	0	0.634873316	0.106408981	0.474702732	0	0	0
LOC_Os08g04270	0	0.618835013	0.078171681	0.482834717	0	1	0
LOC_Os03g02680	0	0.829038224	0.088445903	0.436659208	0	1	0
LOC_Os07g31370	0	0.505694576	0.151664212	0.530285238	0	0	0
LOC_Os08g42580	0	0.500531303	0.313782688	0.564769908	0	0	0
LOC_Os01g68950	0	0.59757432	0.217514668	0.493270463	0	0	0
LOC_Os06g06090	0	0.581993499	0.338677207	0.49919547	0	0	0
LOC_Os01g14950	0	0.589248402	0.286156512	0.458414566	0	0	0
LOC_Os07g02350	0	0.576102632	0.117240231	0.508288256	0	0	0
LOC_Os03g16860	0	0.591747494	0.357213807	0.499313606	0	0	0
LOC_Os01g08560	0	0.515709629	0.21511475	0.495337914	0	0	0
LOC_Os02g02840	0	0.504213673	0.3900657	0.511256093	0	0	0
LOC_Os03g29470	0	0.616097439	0.076345308	0.497289145	0	1	0
LOC_Os03g01850	0	0.864185915	0.07715561	0.421945707	0	1	0
LOC_Os10g06740	0	0.677984446	0.197097475	0.544923655	0	0	0
LOC_Os03g18080	0	0.518565435	0.331683414	0.52710657	0	0	0
LOC_Os06g48640	0	0.614595973	0.166818074	0.514108486	0	0	0
LOC_Os05g38630	0	0.662417388	0.078179213	0.481352982	0	1	0
LOC_Os02g03040	0	0.645944944	0.129322872	0.462906239	0	0	0
LOC_Os09g15750	0	0.608578631	0.180876477	0.535428896	0	0	0
LOC_Os03g59590	0	0.670100787	0.058002683	0.46494068	0	1	0
LOC_Os03g30550	0	0.567619696	0.330530405	0.475200837	0	0	0
LOC_Os01g16240	0	0.674926647	0.368270459	0.452165787	0	0	0
LOC_Os04g53620	0	0.633254007	0.570396345	0.516045564	0	0	0
LOC_Os05g41060	0	0.526893255	0.288486302	0.46416443	0	0	0
LOC_Os10g25090	0	0.643930847	0.284531045	0.486591582	0	0	0
LOC_Os02g34884	0	0.598769393	0.309209572	0.528818321	0	0	0
LOC_Os05g43820	0	0.644398652	0.242322543	0.471626233	0	0	0
LOC_Os11g20384	0	0.556717961	0.341195257	0.529649946	0	0	0
LOC_Os09g10940	0	0.465078398	0.219852707	0.477443078	0	0	0
LOC_Os02g14130	0	0.553715946	0.349874899	0.47164995	0	0	0
LOC_Os03g08550	0	0.665601705	0.34552818	0.510171013	0	0	0
LOC_Os02g14860	0	0.691807688	0.201567723	0.536962177	0	0	0
LOC_Os03g11570	0	0.642423128	0.429820232	0.489968891	0	0	0
LOC_Os07g12170	0	0.556444501	0.169682695	0.479634335	0	0	0
LOC_Os07g13530	0	0.469853105	0.173398412	0.503288965	0	0	0
LOC_Os04g58110	0	0.539439308	0.325817741	0.500921075	0	0	0
LOC_Os02g08530	0	0.540175901	0.374752652	0.467044759	0	0	0
LOC_Os03g09140	0	0.550030506	0.197822053	0.532512437	0	0	0
LOC_Os03g60870	0	0.53067944	0.195895053	0.487034276	0	0	0
LOC_Os01g32800	0	0.605358069	0.484886402	0.491708049	0	0	0
LOC_Os04g30430	0	0.63385108	0.277777891	0.493682352	0	0	0
LOC_Os06g45020	0	0.626870923	0.275154654	0.507440792	0	0	0
LOC_Os04g53240	0	0.70744604	0.340834645	0.450921702	0	0	0
LOC_Os02g29480	0	0.570458082	0.34223287	0.486147683	0	0	0
LOC_Os01g62290	0	0.610433627	0.393502114	0.514162225	0	0	0
LOC_Os05g30800	0	0.78068559	0.105648466	0.498034511	0	0	0
LOC_Os02g51180	0	0.688079812	0.254002211	0.496586802	0	0	0
LOC_Os12g43550	0	0.563071942	0.282918156	0.449183568	0	0	0
LOC_Os04g35890	0	0.598838909	0.318317122	0.469370246	0	0	0
LOC_Os10g30520	0	0.569700138	0.17455649	0.471317123	0	0	0
LOC_Os02g40880	0	0.820494619	0.052462753	0.416519054	0	1	0
LOC_Os05g48980	0	0.427489135	0.615854837	0.508068457	0	0	0
LOC_Os10g38950	0	0.67632843	0.25619745	0.514042545	0	0	0
LOC_Os06g17285	0	0.539068337	0.34131546	0.535250215	0	0	0
LOC_Os02g20850	0	0.563151034	0.384357072	0.491100995	0	0	0
LOC_Os03g45270	0	0.563561179	0.584728647	0.436937263	0	0	0
LOC_Os06g35530	0	0.563262632	0.326755781	0.472510523	0	0	0
LOC_Os07g09680	0	0.640506075	0.107455995	0.470404603	0	0	0
LOC_Os05g01020	0	0.445199167	0.138228919	0.497202787	0	0	0
LOC_Os08g07400	0	0.722026684	0.245164883	0.49254604	0	0	0
LOC_Os03g16110	0	0.730403064	0.259093807	0.433254968	0	0	0
LOC_Os03g26460	0	0.583542412	0.553143781	0.440536537	0	0	0
LOC_Os11g01380	0	0.470738835	0.236696927	0.519869885	0	0	0
LOC_Os02g57080	0	0.705885476	0.183375611	0.49122249	0	0	0
LOC_Os05g01600	0	0.61465166	0.498782623	0.511630628	0	0	0
LOC_Os05g06350	0	0.644173843	0.280682297	0.456065619	0	0	0
LOC_Os03g46390	0	0.604443533	0.326563843	0.476705607	0	0	0
LOC_Os05g44050	0	0.507709081	0.17542921	0.443014792	0	0	0
LOC_Os01g51700	0	0.43298799	0.20885377	0.493097063	0	0	0
LOC_Os06g37180	0	0.712681418	0.373804955	0.475580693	0	0	0
LOC_Os06g38470	0	0.718687028	0.286226638	0.484669545	0	0	0
LOC_Os01g16960	0	0.547132942	0.379304717	0.498629262	0	0	0
LOC_Os05g49890	0	0.514763918	0.165926267	0.461720178	0	0	0
LOC_Os05g23600	0	0.385674024	0.200614149	0.544508853	0	0	0
LOC_Os04g47240	0	0.50323209	0.137441541	0.484153403	0	0	0
LOC_Os02g53420	0	0.612668626	0.247503827	0.524630967	0	0	0
LOC_Os01g08450	0	0.498392837	0.100377958	0.482883865	0	0	0
LOC_Os04g43150	0	0.519266734	0.394872995	0.485383718	0	0	0
LOC_Os09g19700	0	0.608074381	0.144830591	0.504612277	0	0	0
LOC_Os08g15040	0	0.42945048	0.116064324	0.481603158	0	0	0
LOC_Os03g43760	0	0.394149657	0.577816389	0.490993938	0	0	0
LOC_Os07g12200	0	0.561204739	0.273083587	0.47221738	0	0	0
LOC_Os11g04390	0	0.483231913	0.16429135	0.438896797	0	0	0
LOC_Os05g06990	0	0.290639116	0.614483193	0.555942836	0	0	0
LOC_Os01g59790	0	0.601168149	0.240407426	0.459128475	0	0	0
LOC_Os06g45300	0	0.412510234	0.494385496	0.493534521	0	0	0
LOC_Os02g43430	0	0.421179716	0.453763377	0.510569255	0	0	0
LOC_Os01g62570	0	0.691119649	0.047852616	0.424715218	0	1	0
LOC_Os12g01390	0	0.508078111	0.254209096	0.517471178	0	0	0
LOC_Os05g25540	0	0.400412761	0.536919584	0.480906017	0	0	0
LOC_Os03g19870	0	0.569085766	0.109525615	0.500181905	0	0	0
LOC_Os03g08440	0	0.772882488	0.141588155	0.457683152	0	0	0
LOC_Os07g46660	0	0.766744039	0.070122013	0.519017769	0	1	0
LOC_Os03g50885	0	0.506697595	0.624033911	0.552455612	0	0	0
LOC_Os01g51200	0	0.7515781	0.247181527	0.485935906	0	0	0
LOC_Os01g49290	0	0.569281957	0.289764997	0.544861407	0	0	0
LOC_Os07g42450	0	0.821872348	0.11074064	0.462721652	0	0	0
LOC_Os08g07760	0	0.650622131	0.204964869	0.525747731	0	0	0
LOC_Os06g36770	0	0.607406774	0.27227773	0.51513575	0	0	0
LOC_Os05g01040	0	0.734197228	0.153039839	0.484499928	0	0	0
LOC_Os05g11730	0	0.600813962	0.291368704	0.482111368	0	0	0
LOC_Os02g13110	0	0.468078936	0.293116448	0.495834528	0	0	0
LOC_Os08g09240	0	0.733987016	0.348434524	0.449338641	0	0	0
LOC_Os02g07790	0	0.511859108	0.402710903	0.485784663	0	0	0
LOC_Os07g48780	0	0.685989118	0.429960544	0.454637039	0	0	0
LOC_Os09g32976	0	0.659014415	0.1206639	0.446919817	0	0	0
LOC_Os05g45420	0	0.634301649	0.211364645	0.495687838	0	0	0
LOC_Os08g27070	0	0.582969338	0.501869411	0.434804046	0	0	0
LOC_Os01g10840	0	0.638184904	0.306647324	0.483377667	0	0	0
LOC_Os06g36160	0	0.646186148	0.102833392	0.52385386	0	0	0
LOC_Os03g08010	0	0.651898542	0.225813329	0.459824915	0	0	0
LOC_Os03g08020	0	0.655495022	0.253840112	0.444795921	0	0	0
LOC_Os06g48590	0	0.56621086	0.331738126	0.539980606	0	0	0
LOC_Os07g46750	0	0.581511739	0.094224263	0.490443192	0	1	0
LOC_Os05g01480	0	0.538979412	0.329062241	0.502162511	0	0	0
LOC_Os10g39820	0	0.703776693	0.085409645	0.531183658	0	1	0
LOC_Os07g42626	0	0.629589567	0.322091086	0.49007873	0	0	0
LOC_Os08g23710	0	0.650570818	0.101251863	0.459168671	0	0	0
LOC_Os10g04580	0	0.552359097	0.131996116	0.470955367	0	0	0
LOC_Os01g24690	0	0.579547134	0.058147823	0.515777527	0	1	0
LOC_Os03g25070	0	0.763340287	0.334336813	0.488671265	0	0	0
LOC_Os10g28230	0	0.74354312	0.105035028	0.497552813	0	0	0
LOC_Os08g09350	0	0.726096839	0.073996941	0.477621113	0	1	0
LOC_Os04g35600	0	0.531488981	0.174095949	0.418148686	0	0	0
LOC_Os05g44070	0	0.651685287	0.666933639	0.497380789	0	0	0
LOC_Os01g41630	0	0.513823763	0.355143324	0.49889627	0	0	0
