preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os03g50290,0,0.936815062,1,1
LOC_Os04g38870,1,1.0,1,1
LOC_Os08g33370,0,0.998090342,1,1
LOC_Os02g36974,0,0.996062993,1,1
LOC_Os08g37490,0,0.999504685,1,1
LOC_Os06g46770,0,0.876268259,1,1
LOC_Os11g34450,1,0.929876475,1,1
LOC_Os09g30412,1,0.977993799,1,1
LOC_Os05g42424,0,0.425872681,0,0
LOC_Os02g39720,0,0.999676037,1,1
LOC_Os02g06640,0,0.503711466,0,0
LOC_Os01g68940,0,0.121407259,0,0
LOC_Os11g47760,1,0.993136651,1,1
LOC_Os03g60620,0,0.975667314,1,1
LOC_Os03g17710,0,0.496188473,0,0
LOC_Os04g02870,0,0.868855307,1,1
LOC_Os05g02880,0,0.999031754,1,1
LOC_Os07g47630,0,0.978068359,1,1
LOC_Os05g30140,0,0.972369526,1,1
LOC_Os03g22380,0,0.747242932,0,0
LOC_Os09g12800,0,0.173961439,0,0
LOC_Os06g35814,0,0.641685914,0,0
LOC_Os02g58730,0,0.126810373,0,0
LOC_Os05g08840,0,0.02574292,0,0
LOC_Os03g13970,0,1.0,1,1
LOC_Os07g41180,0,0.110813529,0,0
LOC_Os01g21420,0,0.84348168,1,1
LOC_Os01g16190,0,0.814108379,1,1
LOC_Os02g50860,0,0.04897841,0,0
LOC_Os05g38530,0,0.984488695,1,1
LOC_Os01g06290,0,0.999599995,1,1
LOC_Os01g12900,0,0.032063892,0,0
LOC_Os01g73310,0,0.9146829,1,1
LOC_Os03g60530,0,0.500680523,0,0
LOC_Os08g04270,0,0.198636785,0,0
LOC_Os03g02680,1,0.734247185,0,0
LOC_Os07g31370,0,0.002851179,0,0
LOC_Os08g42580,0,0.200041447,0,0
LOC_Os01g68950,0,0.451098903,0,0
LOC_Os06g06090,1,1.0,1,1
LOC_Os01g14950,0,0.159273733,0,0
LOC_Os07g02350,0,0.997688424,1,1
LOC_Os03g16860,0,1.0,1,1
LOC_Os01g08560,0,0.81437756,1,1
LOC_Os02g02840,0,0.07853332,0,0
LOC_Os03g29470,0,2.22e-16,0,0
LOC_Os03g01850,0,0.292739262,0,0
LOC_Os10g06740,0,0.311128901,0,0
LOC_Os03g18080,0,0.711554459,0,0
LOC_Os06g48640,0,0.021646084,0,0
LOC_Os05g38630,0,0.039770984,0,0
LOC_Os02g03040,0,0.553034911,0,0
LOC_Os09g15750,0,0.186059301,0,0
LOC_Os03g59590,0,0.004067646,0,0
LOC_Os03g30550,0,0.071251775,0,0
LOC_Os01g16240,0,1.0,1,1
LOC_Os04g53620,0,0.369377959,0,0
LOC_Os05g41060,0,0.200452823,0,0
LOC_Os10g25090,0,0.154946337,0,0
LOC_Os02g34884,0,0.965437215,1,1
LOC_Os05g43820,0,0.01319466,0,0
LOC_Os11g20384,0,0.730135831,0,0
LOC_Os09g10940,0,0.286142868,0,0
LOC_Os02g14130,0,0.999500001,1,1
LOC_Os03g08550,0,0.55225508,0,0
LOC_Os02g14860,0,0.034850077,0,0
LOC_Os03g11570,0,0.034830156,0,0
LOC_Os07g12170,0,0.685423272,0,0
LOC_Os07g13530,0,0.618968798,0,0
LOC_Os04g58110,0,0.9997,1,1
LOC_Os02g08530,0,0.619879282,0,0
LOC_Os03g09140,0,0.011802111,0,0
LOC_Os03g60870,1,0.188707691,0,0
LOC_Os01g32800,0,0.074890596,0,0
LOC_Os04g30430,0,0.030311056,0,0
LOC_Os06g45020,0,0.857809177,1,1
LOC_Os04g53240,0,0.033477263,0,0
LOC_Os02g29480,0,0.007564643,0,0
LOC_Os01g62290,0,0.735469423,0,0
LOC_Os05g30800,0,0.315596986,0,0
LOC_Os02g51180,0,2.22e-16,0,0
LOC_Os12g43550,0,0.968486703,1,1
LOC_Os04g35890,0,0.86545629,1,1
LOC_Os10g30520,0,0.501705885,0,0
LOC_Os02g40880,0,0.290145527,0,0
LOC_Os05g48980,0,0.001165574,0,0
LOC_Os10g38950,0,1.0,1,1
LOC_Os06g17285,0,0.98645549,1,1
LOC_Os02g20850,0,0.019092583,0,0
LOC_Os03g45270,0,0.0002,0,0
LOC_Os06g35530,0,0.976372431,1,1
LOC_Os07g09680,0,0.003738836,0,0
LOC_Os05g01020,0,0.039072753,0,0
LOC_Os08g07400,0,2.22e-16,0,0
LOC_Os03g16110,0,9.86e-05,0,0
LOC_Os03g26460,0,2.22e-16,0,0
LOC_Os11g01380,0,0.283632099,0,0
LOC_Os02g57080,0,0.830638068,1,1
LOC_Os05g01600,0,0.347678621,0,0
LOC_Os05g06350,0,0.465154273,0,0
LOC_Os03g46390,0,0.862698827,1,1
LOC_Os05g44050,0,2.22e-16,0,0
LOC_Os01g51700,0,0.000102018,0,0
LOC_Os06g37180,1,1.0,1,1
LOC_Os06g38470,0,0.026445412,0,0
LOC_Os01g16960,0,0.981322748,1,1
LOC_Os05g49890,0,0.989711486,1,1
LOC_Os05g23600,0,0.408275569,0,0
LOC_Os04g47240,0,2.22e-16,0,0
LOC_Os02g53420,0,0.996397084,1,1
LOC_Os01g08450,0,0.10758708,0,0
LOC_Os04g43150,0,0.0003,0,0
LOC_Os09g19700,0,0.359238579,0,0
LOC_Os08g15040,0,0.997999969,1,1
LOC_Os03g43760,0,0.460998568,0,0
LOC_Os07g12200,0,0.998918858,1,1
LOC_Os11g04390,0,0.011612273,0,0
LOC_Os05g06990,0,0.613374682,0,0
LOC_Os01g59790,0,0.281873551,0,0
LOC_Os06g45300,0,0.521793048,0,0
LOC_Os02g43430,0,0.9999,1,1
LOC_Os01g62570,0,0.499582873,0,0
LOC_Os12g01390,0,0.054191973,0,0
LOC_Os05g25540,0,0.998393818,1,1
LOC_Os03g19870,0,1.0,1,1
LOC_Os03g08440,0,0.836158912,1,1
LOC_Os07g46660,0,0.014659654,0,0
LOC_Os03g50885,1,0.881114876,1,1
LOC_Os01g51200,0,0.029823847,0,0
LOC_Os01g49290,1,0.859061909,1,1
LOC_Os07g42450,1,0.823593518,1,1
LOC_Os08g07760,0,0.00090741,0,0
LOC_Os06g36770,0,2.22e-16,0,0
LOC_Os05g01040,0,0.025682114,0,0
LOC_Os05g11730,0,0.965595242,1,1
LOC_Os02g13110,0,0.000227676,0,0
LOC_Os08g09240,0,0.000803327,0,0
LOC_Os02g07790,0,0.026434214,0,0
LOC_Os07g48780,0,0.999799859,1,1
LOC_Os09g32976,1,0.170266843,0,0
LOC_Os05g45420,0,0.159345319,0,0
LOC_Os08g27070,0,0.000600059,0,0
LOC_Os01g10840,0,0.821296019,1,1
LOC_Os06g36160,0,0.028902924,0,0
LOC_Os03g08010,0,1.0,1,1
LOC_Os03g08020,0,1.0,1,1
LOC_Os06g48590,0,0.999281205,1,1
LOC_Os07g46750,0,0.206472929,0,0
LOC_Os05g01480,0,0.001301631,0,0
LOC_Os10g39820,0,2.62e-16,0,0
LOC_Os07g42626,1,0.991262441,1,1
LOC_Os08g23710,0,0.087963363,0,0
LOC_Os10g04580,0,0.235070572,0,0
LOC_Os01g24690,0,0.004524188,0,0
LOC_Os03g25070,0,0.308464285,0,0
LOC_Os10g28230,0,0.863681618,1,1
LOC_Os08g09350,0,0.0002,0,0
LOC_Os04g35600,1,0.955335826,1,1
LOC_Os05g44070,0,0.041791945,0,0
LOC_Os01g41630,0,2.22e-16,0,0
LOC_Os08g12820,0,0.88742913,1,1
LOC_Os01g70010,0,0.19595276,0,0
LOC_Os03g08050,1,1.0,1,1
LOC_Os03g53190,0,0.997401689,1,1
LOC_Os04g38480,0,0.050693243,0,0
LOC_Os10g32550,0,0.491716169,0,0
LOC_Os05g26890,0,2.22e-16,0,0
LOC_Os07g44710,0,0.994716988,1,1
LOC_Os07g42300,0,0.114346197,0,0
LOC_Os03g28410,0,0.99869546,1,1
LOC_Os11g07040,0,0.408442165,0,0
LOC_Os02g05480,0,0.996123088,1,1
LOC_Os03g29260,0,0.250627823,0,0
LOC_Os03g55600,0,0.002102667,0,0
LOC_Os09g33600,1,0.775511418,1,0
LOC_Os03g61970,0,0.942646489,1,1
LOC_Os04g42270,0,0.006296625,0,0
LOC_Os01g19150,0,0.722064807,0,0
LOC_Os03g02260,0,0.996401321,1,1
LOC_Os03g06070,0,2.22e-16,0,0
LOC_Os05g03620,0,0.278034702,0,0
LOC_Os01g32750,0,0.120884168,0,0
LOC_Os01g72790,0,0.994679588,1,1
LOC_Os12g04180,0,0.001296304,0,0
LOC_Os12g41490,0,0.966489415,1,1
LOC_Os07g22710,0,0.997999383,1,1
LOC_Os10g36650,0,0.750268119,0,0
LOC_Os02g05340,0,0.954176797,1,1
LOC_Os02g43690,0,2.22e-16,0,0
LOC_Os05g47890,0,0.027074063,0,0
LOC_Os03g16920,1,0.999298866,1,1
LOC_Os03g59740,0,0.003558942,0,0
LOC_Os06g12790,0,0.246430265,0,0
LOC_Os02g03890,0,0.001298649,0,0
LOC_Os05g41210,0,0.9982,1,1
LOC_Os02g57450,0,0.00252131,0,0
LOC_Os08g42600,0,0.910398092,1,1
LOC_Os02g09740,0,0.051424483,0,0
LOC_Os07g08330,0,1.0,1,1
LOC_Os09g07510,0,0.149037361,0,0
LOC_Os03g17700,1,1.0,1,1
LOC_Os02g02410,1,0.972182312,1,1
LOC_Os03g20370,0,0.995664009,1,1
LOC_Os03g59390,0,0.928068839,1,1
LOC_Os04g35240,0,0.461594252,0,0
LOC_Os10g28040,0,0.22500536,0,0
LOC_Os11g06890,0,0.055787455,0,0
LOC_Os01g54590,0,0.017250314,0,0
LOC_Os03g56470,0,0.614643304,0,0
LOC_Os04g51950,0,0.722143938,0,0
LOC_Os12g31810,0,0.0001,0,0
LOC_Os03g03150,0,0.244232643,0,0
LOC_Os06g07780,0,0.999799146,1,1
LOC_Os01g47730,0,0.207207672,0,0
LOC_Os05g48240,0,0.995776893,1,1
LOC_Os06g50030,0,0.91074988,1,1
LOC_Os07g25420,0,1.0,1,1
LOC_Os12g30060,0,2.22e-16,0,0
LOC_Os01g07560,0,0.001495596,0,0
LOC_Os01g37800,0,0.001300682,0,0
LOC_Os09g16950,0,0.367933994,0,0
LOC_Os02g52250,0,0.000600758,0,0
LOC_Os05g33050,0,0.969429103,1,1
LOC_Os05g50190,0,0.538144521,0,0
LOC_Os01g17190,0,1.0,1,1
LOC_Os11g06390,1,0.999385031,1,1
LOC_Os05g36120,0,0.317110085,0,0
LOC_Os06g46600,0,0.013711082,0,0
LOC_Os06g06510,0,0.102455819,0,0
